"changerate","lastmin","lastmax","valmax","valmin","changepercent","degree"
1189,3980,4516,11521070822,1653142381,26,3
-660,13200,14300,19915009120,627372010,-5,-1
396,1535,1954,84459459928,3461052200,22,3
270,1560,1900,53519762331,9582553086,15,2
18480,172180,195680,872976674040,75403745770,9,1
-400,6310,6900,97938479710,26868537830,-6,-1
-340,5830,6470,1147782629540,269169760920,-6,-1
-144,4843,5182,607771551024,144163990030,-3,-1
4890,0,15780,166833513390,0,34,3
-220,13640,14790,5752114660,312939440,-2,-1
-650,7840,8740,33991816940,7397652890,-8,-1
-6540,37300,39000,22547114280,3543776450,-17,-2
220,11290,12000,171677258160,2437773600,2,1
1700,0,16060,383088107320,0,11,2
11500,44100,47950,80356344550,4657511250,25,3
-26300,0,290000,32105352000,0,-10,-1
30400,61150,83100,83157941450,2500863700,43,3
308,2955,3130,59670771844,19573929692,10,1
67,916,982,1558411052909,221551080461,7,1
1208,4015,4302,6818769787,366974108,29,3
225,1512,1726,61665138586,5909771417,13,2
1550,0,34200,32118055800,0,4,1
-310,17810,19150,22174194890,3190667280,-2,-1
502,4060,4851,19876298149,989128082,10,2
269,925,1196,162653697201,6676292475,24,3
-1770,6000,7440,546652489000,41719330090,-26,-3
-200,26600,29700,93722952000,4771990300,-1,-1
13300,71150,74650,9195803950,1581279750,18,2
201,3090,3499,84197804652,9197848548,6,1
1180,16690,19190,46290744020,4046292920,6,1
-745,4112,4551,24575406944,1215199889,-18,-2
590,9470,9920,77341854080,24835289050,6,1
590,9690,11190,303595324300,48839139100,5,1
530,4350,5050,41306258174,5261460672,11,2
3050,24100,25900,18389212700,1056819200,11,2
-11200,73750,83850,106523070200,247178900,-14,-2
-1680,6940,7200,14839651260,3118699820,-24,-3
2330,12480,15250,59481318700,6355315580,16,2
-2720,64500,72700,105430842540,20277856160,-5,-1
400,9000,9590,109539284510,23297731080,4,1
867,0,4883,62585759344,0,18,2
1090,8240,9330,24612971190,2160673740,12,2
129,0,3657,250266392726,0,3,1
1420,12170,13590,31870735530,3602011330,11,2
2410,49400,56930,20051883190,2375617550,3,1
4500,25500,30100,21149901900,2102533150,15,2
600,0,9840,37147940050,0,6,1
-1960,11970,13140,23397438290,955970160,-17,-2
537,1973,2478,86591076561,9513812798,23,3
2510,9630,11990,110680023190,4745923750,23,3
3860,35460,42450,101176184130,13722192540,9,1
17400,0,45420,508746932530,0,48,3
880,9450,10750,44499923450,7116388560,8,1
620,7250,8030,136055230020,22866505940,8,1
604,2611,3182,52033644170,6431088772,20,2
609,3871,4800,26961835792,2279410425,12,2
669,3194,4061,42156781271,3512258689,17,2
-170,16270,18120,60560165260,2310198410,-2,-1
526,4111,4560,38579480273,2025534449,12,2
274,2030,2326,32502873895,10376352158,12,2
-1860,6350,7150,35033161010,468990010,-28,-3
910,9200,10750,130112068280,11237794640,8,1
1450,5380,6520,23584871090,4504562790,23,3
9310,0,41200,87887482400,0,24,3
402,1300,1507,17794359285,2384652037,29,3
6350,34900,42300,43023459400,2163373650,15,2
2430,8700,11530,52997051880,8944534570,22,3
1440,0,12500,43712599370,0,11,2
304,0,2186,81996868614,0,15,2
720,0,11850,34725562490,0,6,1
710,5480,6800,228867627190,10024882390,11,2
1880,0,11010,621812193740,0,18,2
348,0,4000,80634392092,0,9,1
-1,0,1111,170511577998,0,-1,-1
180,1240,1422,204660670978,24870430523,14,2
-1870,7650,8420,997817490930,27664687480,-24,-3
450,17790,19190,137603134600,23308397760,2,1
-19250,42150,53650,88794010700,3606051150,-40,-3
428,3184,3680,27611627487,3051107557,12,2
-130,0,12910,33082177900,0,-1,-1
660,6310,7170,10415502130,1975773550,9,1
-659,4309,4650,20788216328,129855861,-15,-2
-4800,0,18790,18461575820,0,-27,-3
940,23250,25080,114329624260,15099033420,3,1
-7900,14260,16890,39218148760,6556000,-51,-3
-114,1631,1818,36893360779,745374688,-7,-1
41450,426110,494890,156158886220,8144496820,9,1
-1010,0,8260,248626277090,0,-14,-2
423,4360,5198,158287324900,3187493860,8,1
620,11760,12640,38181587150,10384909610,5,1
-650,2765,2878,13866335203,6459661386,-23,-3
-1223,1707,2014,27326064198,13177098,-66,-3
-6170,17930,19270,49180299100,1070938040,-34,-3
-174,0,4230,282781955744,0,-5,-1
1440,8990,11650,1065224848230,88942371220,14,2
1050,22470,26800,48478576260,4682227830,3,1
-50,5130,5540,41966823770,4855091550,-2,-1
-400,23200,24800,24059082550,1604753600,-2,-1
1500,11770,13810,59010313840,9038281300,11,2
250,0,23400,1382894284000,0,1,1
360,4630,5180,82442111551,9731833518,7,1
-162,0,810,3953391927,0,-21,-3
467,3120,3547,242208109313,13302231033,13,2
-3740,25090,26580,68591234670,6687548620,-15,-2
800,11600,12950,59296256770,7027310820,6,1
-9450,0,57000,2341622900,0,-17,-2
339,1191,1409,90614328342,7547591241,25,3
-1560,16570,17770,125088832100,6524269840,-10,-1
930,19320,21340,6926474860,1028331920,4,1
-110,0,9070,116937122920,0,-2,-1
-1380,12470,15200,116478635200,133029000,-8,-1
2540,14840,17750,46441009700,2480350970,15,2
99,0,1830,186497900591,0,5,1
46,0,19280,19280000,0,0,1
1820,22520,31740,270572972750,11739866880,5,1
350,0,5710,269795682100,0,6,1
-2300,0,6460,7003049280,0,-37,-3
2000,7230,8680,15415276800,1100511360,25,3
-6900,0,28700,449222271200,0,-27,-3
-70,23310,27700,42109411710,2625429660,-2,-1
-1660,12270,14320,29439664520,6171604960,-12,-2
-220,0,5810,864611493990,0,-5,-1
-780,7010,7360,17554611940,2627082270,-11,-2
820,8310,9110,48800042330,9400779280,9,1
48300,158550,167500,41366348800,670591350,29,3
458,4730,5278,76764550270,5276202246,9,1
700,8140,8870,3168733030,90974850,8,1
-38,2185,2387,139879071102,36731291568,-3,-1
408,0,5290,169057312160,0,8,1
1570,15070,17260,41540132710,9205126330,9,1
1554,3920,4578,9721837025,1977259352,36,3
2687,0,6830,348861451910,0,46,3
284,1684,1947,25707414300,3400425853,15,2
2770,12900,14360,16412913400,2122554320,20,2
888,4851,5860,40531567630,6697306210,16,2
4570,66510,83180,51778360910,1332299350,6,1
240,9000,10100,31455373890,1864348990,2,1
